datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/05/23 12:55:00,AQUA_M-T,United Kingdom,England,Cambridgeshire,,0,0,0,52.411,0.082,18.5
2019/07/25 12:10:00,AQUA_M-T,United Kingdom,England,Redcar and Cleveland,,0,0,0,54.573,-1.103,67.7
2019/07/25 12:10:00,AQUA_M-T,United Kingdom,England,Redcar and Cleveland,,0,0,0,54.566,-1.13,27.2
2019/07/25 13:50:00,AQUA_M-T,United Kingdom,England,Redcar and Cleveland,,0,0,0,54.573,-1.146,66.7
2019/01/08 12:50:00,AQUA_M-T,United Kingdom,Scotland,Scottish Borders,,0,0,0,55.852,-2.526,9.5
2019/01/08 12:50:00,AQUA_M-T,United Kingdom,England,North Yorkshire,,0,0,0,54.486,-0.926,10.1
2019/01/08 12:50:00,AQUA_M-T,United Kingdom,England,North Yorkshire,,0,0,0,54.36,-1.024,13.7
2019/01/08 12:50:00,AQUA_M-T,United Kingdom,England,North Yorkshire,,0,0,0,54.19,-1.806,8.7
2019/01/15 12:55:00,AQUA_M-T,United Kingdom,England,Northumberland,,0,0,0,55.009,-2.034,13.8
2019/01/15 12:55:00,AQUA_M-T,United Kingdom,England,Northumberland,,0,0,0,55.007,-2.049,7.5
2019/01/24 12:50:00,AQUA_M-T,United Kingdom,Scotland,Aberdeenshire,,0,0,0,57.642,-2.023,8.8
2019/01/28 12:25:00,AQUA_M-T,United Kingdom,England,North Lincolnshire,,0,0,0,53.562,-0.598,13.4
2019/07/28 12:40:00,AQUA_M-T,United Kingdom,England,Berkshire,,0,0,0,51.518,-1.363,8.7
2019/09/05 12:45:00,AQUA_M-T,United Kingdom,England,West Sussex,,0,0,0,51.151,-0.18,2.8
2019/09/08 13:20:00,AQUA_M-T,United Kingdom,England,Worcestershire,,0,0,0,52.129,-2.327,3.4
2019/09/10 13:05:00,AQUA_M-T,United Kingdom,England,Cornwall,,0,0,0,50.284,-5.204,5.1
2019/09/10 13:05:00,AQUA_M-T,United Kingdom,England,Cornwall,,0,0,0,50.288,-5.139,8.3
2019/09/10 13:05:00,AQUA_M-T,United Kingdom,England,Cornwall,,0,0,0,50.337,-4.936,4.8
2019/09/10 13:05:00,AQUA_M-T,United Kingdom,England,Cornwall,,0,0,0,50.285,-5.153,12.1
